"26","absolute age","நிலயியலின் வயது. பூமி தோன்றியக் காலத்தைக் குறிப்பது. ஏறத்தாழ கணக்கிடப்படும் இக்காலத்தையறிய ரேடியோ மெட்ரிக் காலக்குறியீடு மற்றும் பகுத்தாய்தல் முறை பயன்படுத்தப்படுகிறது. இதன் மூலம் கால வரலாறு தயாரிக்கப்பட்டுள்ளது.
"
"27","absolute alcohol","தூய்மையான திரவ கரைமம். இதுதான் ஏவுகணைகளை உந்தி மேலேறச் செய்கிறது.
"
"28","absolute humidity","தனி ஈரநிலை.
"
"29","absolute temperature","தனி தட்ப _வெப்பநிலை. இது செல்சியஸ் பாகையில் அளக்கப்படுகிறது.
"
"30","absolute zero","தனி சுழி; இயக்க ஆற்றலை இழக்கும் ஒரு மூலக்கூறின் வெப்பநிலையை இது குறிக்கிறது. பாகையில் 273.150நீ என்றோ 459.670யீ என்றோ குறிக்கப்படுவது.
"
"31","absorptio meter","காற்று கவர் அளவீடு கருவி. நீர்மம் கொண்டு காற்றின் கரைதிறனை அறிதல்.
"
"32","abstraction","பிரித்தறிதல். ஒவ்வொன்றின் பண்புகளையும் பிரித்தறிதல்.
"
"33","abstriction","சுருங்குதல். பருவம் எய்தியதும் விதையை வெளியேற்ற இயற்கை செய்யும் தந்திரம். சுருங்குவதால் விதை தாங்கி ஏதுமில்லாததால் கீழே விழுகிறது.
"
"34","abyssal ","பெருங்கடலின் ஆழப்பகுதி சுமார்	2000 மீட்டர் ஆழமிருக்கும். ஆழப்பகுதிமிகக் குளிராகவும், கும்மிருட்டாகவும் மித அலையடுக்கும் காணப்படும். இங்கு உயிரினங்கள் சொற்பளவில் உள்ளன. மிகப் பெரிய நிலப்பகுதியாக இப்பகுதி காணப்படுகிறது.
"
"35","abyssal fish","ஆழ்கடல் மீனினங்கள். சுமார் 2000 மீட்டர் ஆழத்திலும் உயிர் வாழும் மீன்கள் மிக எடைக் குறைந்த எலும்புக் கூடுகளால் அமைந்தனவாகயிருக்கும். தட்டையான உடலும், நீண்ட வால் கொண்டதாக இவ்வினங்கள் இங்கே வாழ்கின்றன.
"
"36","acacia","வேலமரம் இது பிசினையும் சுரக்கும் மரமாகும். முள் கொண்டது.
"
"37","academy","கல்விச்சாலை, கலைக்குழு.
"
"38","acapnia","இரத்தத்தில் கார்பன் ஆக்ஸைடு குறைதல்.
"
"39","acatalasia","செரித்தலின்மை
"
"40","acceleration of free fall","புவியீர்ப்பு விசை. பூமியின் காந்தப் புலத்தில் ஒரு பொருள் களிலிருந்து கவரப்படுவதன் வேகம் இதனுடைய மதிப்பு
"
"41","accelerator","வேகமுடுக்கி. இயங்கு பொருள்களின் வேகத்தை ஊக்கும் கருவி.
"
"42","acceptor","ஏற்றுக் கொள்பவை. மின்னணுக் களைப் பெற்றுக்கொள்ளும் சேர்மம். அயனி.
"
"43","accident","எதிர்பாராச் செயல். இருசெயல்களின் ஒரு நிலையில் இரண்டும் ஒன்றாதல்.
"
"44","accumulator","மின்னலாற்றலாக மாற்றும் கலன். வேதியாற்றல் மின் ஆற்றலாக மாற்றுவது. இதில் சல்பியூரிக் அமிலம் பயன் படுகிறது.
"
"45","acceae","தாவரக் குடும்பத்தைக் குறிக்கும் இணைச்சொல்.
"
"46","acebutolol","ஒழுங்கற்ற இதயத்துடிப்பு
"
"47","acellular","ஒரு செல் உயிரி. அமீபா.
"
"48","acephalous","தலையில்லா உயிரி.
"
"49","acerous","கொம்புகளற்ற உயிரி.
"
"50","acetabulum","இடுப்பெலும்பு குழிப்பகுதி.
"
"51","acetic acid","கார அமிலம். அரிக்கும் தன்மை கொண்டது. சிபி2 சிளிளிபி.
"
"52","acetone","தீப்பிடிக்கும் திரவம். நிறமற்று மணமுள்ள நீர்மம். இது. கொழுப்புகளைக் கரைக்கக் கூடியது. சிபி2 சிளிசிபி2.
"
"53","aceto hexamide","நீரிழிவுக்கு எதிர் மருந்து.
"
"54","acetylene","ஆசிட்டிலின் சி2பி2 கால்சியம் கார்பைடு இதைக்கொண்டு தான் மாம்பழங்களை பழுக்க வைக்கிறார்கள். வெள்ளையாக இதன் வாயு எரியும். தங்க நகையை உருக்க இவ்வாயு பயன்படுகிறது.
"
"55","ache","வலி. நோயைக் காட்டுவது.
"
"56","achene","னீஷீஸீஷீநீஷீtஹ்றீமீபீஷீஸீஷீus
"
"57","achievement test","திறனறி தேர்வு.
"
"58","achromatic lens","நிறபிறழ்ச்சி நீக்கும் வில்லை. நிறவரிகள் பிறழ்ச்சியை ஒழுங்குப்படுத்தும் வில்லை.
"
"59","acicular","ஊசி இலைகள்.
"
"60","acidaemia","அமிலம் செறிந்த இரத்தம். இது ஒரு நோய்.
"
"61","acid","புளிப்பு அமிலம். குறைந்தப்பட்ச ஜீபி அளவு 7 கொண்டது. இந்த அமிலம் எலக்ட்ரான் ஜோடிகளை ஏற்றுக் கொள்ளும் என்று 1923 ஆம் ஆண்டு நி.ழி.லூயிஸ் அறிவித்தார். ஹைட்ரஜன் அயனி கொண்டது புளிப்புக் காடியாகும். அமில நீரில் வாழும் உயிரிகள் கீழே.
"
"62","acid anhydride","நீர்மை அமிலம். இதில் கரிமக்கூட்டுப் பொருளுண்டு.
"
"63","acid, formic","ஃபார்மிக் அமிலம்
"
"64","acid dyes","கரிம அமிலத்தின் சோடியம் உப்புகள். அமிலச் சாயங்கள்.
"
"65","acid rain","வேதிமழை. காற்றில் உள்ள நைட்ரஜன், கந்தகம் போன்றவை கலந்து மழையாகப் பொழிதல்.
"
"66","acid value","அமில அளவு. ஒரு கிராம் பொருளில் அமில நடு நிலையாக்க தேவைப்படும் பொட்டாசியம் ஹைட்ராக்ஸைடின் மில்லிகிராம் அளவு.
"
"67","acidimetry","அமில அளவு. ஒரு கரைசலிலுள்ள அமிலத்தின் அளவை அளவிடுதல்.
"
"68","acidity","அமிலத்தன்மை. ஓர் அமிலத்தின் புளிப்புத்தன்மை.
"
"69","acid salt","அமில உப்பு sஷீபீவீuனீ பிஹ்பீக்ஷீஷீரீமீஸீ suறீஜீலீணீtமீ வினையூக்கியால் வாயுவாகக் கூடியது.
"
"70","acid citric","சிட்ரிக் அமிலம்
"
"71","accility constant","அமிலத்தன்மையின் மாறிலி. அமிலப்பிரிகை மாறிலி.
"
"72","acidolysis","அமிலப்பகுப்பு.
"
"73","acidometer","அமில மானி.
"
"74","acinesia","இயக்க நலிவு.
"
"75","acoustics","ஒலியியல்.
"
"76","acme zone","வெள்ள வெளி. வெள்ளத்தால் உருவான பகுதி.
"
"77","acquired character","ஓர் உயிரி தானாகப் பெறும் பண்பு. இதை அறிவியலாளர் லாமார்க் மற்றும் பப்பான் (றீணீனீணீக்ஷீளீ ணீஸீபீ ஙிuயீயீஷீஸீ) அறிவியல் கொள்கையாக வெளியிட்டனர்.
"
"78","acre","ஏக்கர். ஒரு பகுதியின் அளவு. 4000 சதுர மீட்டர் அளவு.
"
"79","acrocarpous","கோண திசை வளர்ச்சி.
"
"80","acrogen","விதையிலா தன்முனைப்பு வளரி. விதையிலா தாவரம்
"
"81","acropetal","நுனி நோக்கு வளர்ச்சி.
"
"82","acrosome","விந்தணு தலைப்பகுதி. முட்டையைத் துளைக்கும் படியான தலை அமைப்பைப் பெற்றது.
"
"83","actinium","அக்டினிய தனிமம். இது வெகு நச்சுத்தனிமம்.
"
"84","actinodromous","கதிர் நரம்பமைவு
"
"85","actnoids","கதிரியக்கத் தனிமம்.
"
"86","actiomorphy","சமச்சீர் ஆரம் எடு
"
"87","actiomycosis","விலங்கு நோய். இது ஆக்டினோ மைகோசிஸ், இஸ்ரேலி என்கிற பாக்டீரியாவை உண்டாக்குகிறது. நுரையீரல், குடலைப் பாதிக்கும் நோய்.
"
"88","actinotheraphy","கதிர் மருத்துவம்
"
"89","active site","வினையாக்கம் நிகழுமிடம்.
"
"90","active transport","உயிரணுபடலம் வழியாக பொருட்கள் வெளி, உள்ளே சென்று வருதல்.
"
"91","acrostic","சுரந்துறைப்பாட்டு, வரி எழுத்து கொண்டு தொடரும் பாட்டு வகை.
"
"92","act","பாவனை செய்தல், நடித்தல், சட்டம், விதி.
"
"93","actuary","காப்பீட்டுக் கணிப்பாளர்.
"
"94","actuate","தூண்டுதல், உந்துதல்.
"
"95","aculeus","முள், கொடுக்கு.
"
"96","acumen","அறிவுக்கூர் திறமை.
"
"97","acupuncture","ஊசி மருத்துவம்.
"
"98","acute","எளிதாகப் புரிந்து கொள்ளுதல்.
"
"99","adage","பழஞ்சொல், பழமொழி.
"
"100","admant","வைரம்.
"
"101","adam’s apple","ஆணின் குரல் வளை.
"
"102","adapt","சூழ்நிலைக்குத் தகுந்தவாறு அமைதல்.
"
"103","adaptations ","உயிர்களில் தகவமைப்பு
"
"104","adaxial","அச்சு நோக்கி வளர்தல்.
"
"105","adder","நச்சுப்பாம்பு. விரியன்.
"
"106","addision’s disease","அடிசன் என்கிற நோய். அட்ரினல் சுரப்பியின் குறை நோய்.
"
"107","addition reaction","கூட்டு வினை. எதீலின், அசீட்டலின் வாயுக்கள் புரோமின் கரைசலுடன் சேரும் போது நிறமற்றதாக்கும்.
"
"108","address","முகவரி. குறிப்பட்ட இடத்திற்கான அடையாளம்-.
"
"109","adductor","மடக்குத்தசை. முன்கையை மடக்கப் பயன்பெறும் இருதசைகள்.
"
"110","adenine","அடினைன் பியூரைனிலிருந்து கிடைப்பது. ஞிழிகி, ஸிழிகி வில் காணப்படுவது.
"
"111","adenoids","மூக்கினடியிலுள்ள சதை.
"
"112","adenotrophic viviparity","உள் தங்கி வளருதல். ஈக்கள் சில வகைகளில் முட்டையிலிருந்து குஞ்சு ஈக்கள் வெளிவந்த பின்பும் தாயுடன் ஒட்டியே வாழ்கிறது. பின்பு முதிர்ச்சி யடைந்ததும் வெளியேறுதல்.
"
"113","adenovirus","சுரப்பி வைரஸ். இது மனிதன், விலங்குகளில் உள்ளது.
"
"114","adermine","அடர்மின்; பூஞ்சைகளான பைரிடாக்சின், விட்டமின் பி, பால் காடிக் பாக்டீரியாக்களின் வளர்ச்சிக்கு உதவுவது.
"
"115","adhesion","ஒட்டுதல்; இரு வேறுபட்ட பொருள்களின் துகளைக் கவரக்கூடிய திறன் உள்ளவை.
"
"116","adhesive","ஒட்டுதல். இரு பரப்புகளை ஒன்று சேர்க்கும் பொருள். இது மூன்று வகைப்படும்.
"
"117","adrabatic","வெப்பம் மாறாமை.
"
"118","adipose tissue","கொழுப்புத்திசு.
"
"119","adjustment","தகவமைதல். ஓர் உயிரி தன்னைத்தானே தகவமைத்துக் கொள்ளுதல். இதன் நோக்கம் நிலைப்பாட்டை அடைதல்.
"
"120","adjustor neuron","தகவமை நியூரான் நரம்பு மண்டல நரம்பு அணு. இதுவே உடலின் செய்தியை நடத்தும் அற்புதச் செயலைச் செய்கிறது.
"
"121","adnate","இணைந்தது.
"
"122","adolescence","பதின்ம பருவம். ஆண் 13_20 வயது. பெண் 12_18 வயது என்பதாகும்.
"
"123","adrenal glands","அட்ரினல் சுரப்பி. இது சிறுநீரகத்தின் மேல் அமைந்துள்ளது. பெண்டிர் முகத்தில் முடி வளரச் செய்வது. இதுவே ஆபத்துக் காலங்களில் உடலில் அதிக சக்தியை அளிக்கக் கூடியது. நம் உடலில் பயத்தால் இச்சுரப்பி அதிகளவில் சுரக்கிறது. இச்சுரப்பியின் வாசனையை நாய்கள் எளிதாக நுகரும். இந்த சுரப்பி வாசனை அந்த நாய்க்கு கோபத்தை வரவழைக்கக் கூடியதாகும்.
"
"124","adrenalin","சுரப்பு நீர்.
"
"125","adrien marie legendre","ஆட்ரெயின் லெஜென்ரே பிரான்சு (செப்டம்பர், 18 கி.பி. 1752 _ 1833) நீள்வட்ட இடையீடுகள், திட வரைபட இயல், எண் கோட்பாடு, கோளமுக்கோணவியல் போன்றவற்றில் அவரது பங்களிப்புகள் அபாரமானவை. கணிதம் மற்றும் பிறதுறைகளில் 60 பாட புத்தகங்களை எழுதியதும் இவரது பெரிய சாதனை.
"
"126","adsorbents","உறிஞ்சிகள்.
"
"127","adventitious buds","வேற்றிட அரும்புகள். முளை இலைத் தாவரங்களில் இது இலை விளிம்பில் உருவாவது.
"
"128","adventitious roots","வேற்றிட வேர்கள்.
"
"129","aerenchyma","காற்றுப்பஞ்சுத்திசு. நீரில் வாழும் தாவரங்கள் மிதக்க இயற்கையால் அளிக்கப்பட்ட திசுக்கள்.
"
"130","aerial","ஏரியல் என்கிற அலைவாங்கி, வானொலிக்காக முன்பு இருந்த சாதனம்.
"
"131","aerial root","ஈரக்காற்று வாங்கி. வேர். எடு
"
"132","aerobe","காற்றுண் உயிரி. காற்றைப் பருகி உயிர் வாழும் உயிரிகள்.
"
"133","aerobic respiration","காற்றுப் பருகு மூச்சு. ஆக்சிஜனில் கார்பன் ஏற்றம். இதனால் அதிக ஆற்றலைப் பெறுதல்.
"
"134","aerotaxis","காற்றுக் கொண்ட இயக்கம்.
"
"135","aerotropism","உயிர்வளி ஏற்றம்.
"
"136","aestivation","கோடையில் உறக்கம்.
"
"137","afferent","உட் செல்லல். உணர்வை உணர்வு நரம்பு மூளைக்குக் கொண்டுச் செல்லுதல். நரம்பு வழியாக ஓரிடத்திலிருந்து மற்றோர் இடத்திற்கு இரத்தம் பாய்தல்.
"
"138","afforestration","காடு பெருக்கி வளம் பெறுதல்.
"
"139","agamic","கலவாப்பெருக்கம். பால் இணையாமல் இனப்பெருக்கம்.
"
"140","agar-agar","கடல் பாசிகளிலிருந்து எடுக்கப் படும் ஜெல் போன்ற கூழ்மம்.
"
"141","agate","கடினக்கல் சிலிகானின் கடினமான கல் வடிவம்.
"
"142","age","அடிப்படை வயது,
"
"143","age, chronological","கால வயது.
"
"144","age, mental","உள வயது.
"
"145","agglutination","ஒட்டுதல்.
"
"146","aggression","வன்மைத்தாக்குதல். இது விலங்கு களில் அதிகம் காணப்படும் தாக்கல் ஆகும்.
"
"147","agrad","வளர்ப்பு வகை.
"
"148","agriculture","விவசாயம், வேளாண்மை.
"
"149","ague","குளிர் காய்ச்சல்.
"
"150","aid","உதவி.
"
"151","aids","ணீமீஹீuவீக்ஷீமீபீ வீனீனீuஸீமீ பீமீயீவீநீவீமீஸீநீஹ் sஹ்ஸீபீக்ஷீஷீனீமீ எய்ட்ஸ். எதிர்ப்பாற்றல் குறைநோய். 1981-_இல் கண்டறியப்பட்டது.
"
"152","air lock","காற்றடைப்பு
"
"153","aiguille","துளைக் கருவிகளிலொன்று.
"
"154","ail","நோயுறுதல்.
"
"155","ailment","நோயால் தொல்லைப்படுதல்.
"
"156","aim","குறிக்கோள்.
"
"157","air","காற்று மண்டலம், தோன்றுதல்.
"
"158","air pollutions","காற்று மாசு.
"
"159","air bladder","காற்றுப்பை. மீன்கள் மிதப்பதற்குப் பயன்படுதல்.
"
"160","air ships","வான் கப்பல்கள். தட்ப வெப்ப நிலையையறிய உப்பிகள் (தீலிளிளிழிஷி) வானில் மிதக்கப் படுகிறது.
"
"161","air borne","காற்று மூலம் எடுத்துச் செல்லப்படுவது.
"
"162","air conditioning","காற்றின் தட்ப வெப்பத்தைக் கட்டுப்பாட்டில் வைத்தல்
"
"163","air craft","விமானம்.
"
"164","airs","கர்வம்.
"
"165","air sacs","காற்று வரிபைகள். பறவை களுக்குரியது.
"
"166","air plane","விமானம். 1903_இல் ரைட் சகோதரரர்கள் கண்டு பிடித்தது.
"
"167","akinesis","இயக்கமின்மை. புலன்உறுப்புகள் இழந்த பூச்சிகள் இயங்குவதில்லை.
"
"168","akin","ஒரே இயல்புடைய.
"
"169","akinete","நிலை விதை பாசிகளில் தடித்த சுவருடன் இருப்பது_பருவம் கடந்த பின்பும் உயிர்ப்பிக்க உதவுகிறது.
"
"170","akle","பிறை வடிவ பாலை மணல் அமைவு.
"
"171","ala","புற வளர்ச்சி, தாவரங்கள் தான் இனப்பெருக்கத்திற்காக கனிகள் மீது இறகுகள் போல இலை அமைப்பு. இறகு போன்று சுழன்று வேரிடம் சென்று தன்னினத்தைப் பெருக்கச் செய்கிறது. எடு
"
"172","albatross","அண்டரண்டப் பறவை. கடல்வாழ் பெரிய இறகு கொண்ட பறவை.
"
"173","alabaster","வெண் பளிங்குக்கல். அலபாஸ்டர் ஜிப்சம். சிணீஷிஷீ4 2பி2ளி நீர்ம கால்சியம் சல்பேட்.
"
"174","albedo","ஒளி எண்.
"
"175","albinism","பாண்டு. வெள்ளைத் தோல்.
"
"176","albumin","ஆல்புமின். பால், முட்டை போன்றவற்றிலுள்ள புரதம்.
"
"177","alehemy","இரசவாதம், வேதியியலுக்கு அடிப்படையானது.
"
"178","alehemist ","ஆதி, வேதி வினை ஆராய்ச்சியாளர்கள்
"
"179","alcohol","சாராயம் சி2பி2ளிபி கரைமம்.
"
"180","aldicarb","ஆல்டிகார்ப் சி7பி14ழி2ளி2ஷி வெள்ளைநிற படிகம். இது பூச்சிக் கொல்லியாகப் பயன்படுகிறது.
"
"181","aldrin","ஆல்டிரின் கரையான் கொல்லி. ஜெர்மன் வேதி இயலாளர் குர்ட் ஆல்டர் பெயரால் அழைக்கப்படுவது.
"
"182","aleurone","மாப்புரதம், சில விதைகளில் உள்ளன.
"
"183","aleuroplast","மாக்கணிகம். புரதக்கணிகம்.
"
"184","alexin","அலெக்சின். நோயைத் தடுக்கும் புரதம். சீரத்திலிருப்பது.
"
"185","algae","பாசிகள். ஒரு சொல் உயிரி. இதில் 25,000 வகைகளுண்டு.
"
"186","algology","பாசியியல்.
"
"187","algorithm","செய்முறைப்பாடு விதிமுறைகள். வழிநடை முறை.
"
"188","alimentary canal","உணவு வழி. உணவுப்பாதை
"
"189","alkaline rock","எரி பாறைகள். இதில் லித்தியம், சோடியம், பொட்டாசியம், ரூபிடியம், சீசியம் மற்றும் பிரான்சியம் போன்ற வேதி கூட்டுச்சேர்மங்கள் இருக்கும். இவை பாறைகளாக உருமாறிக் கிடக்கிறது. ஆசிட் பாறைகளாகவும் இருக்கும். பல நாடுகளில் பூமிக்கடியிலிருந்து இவ்வகைப்பாறைகள் தோண்டி எடுக்கப்படுகிறது
"
"190","alkalimeter","காரமானி;
"
"191","alkaline battery","காரமின் குடுவைகள்
"
"192","alkaline soil","வேதி மண். பூமியில் 7.0அளவில் ஜீபி குறியீட்டில் காணப்படும் மண் வகை வேதி மண் என்றழைக்கப்படுகிறது.
"
"193","alkalinity","காரத்தன்மை கொண்டது.
"
"194","alkaloids","காரமங்கள். இருவிதை இலைத் தாவரங்களிலுள்ள அடிப்படைக் கரிமச் சேர்மங்கள். எடு
"
"195","alkalosis","காரத்தேக்கம். இரத்தத்தில் காரப்பண்பு மிகுதல்.
"
"196","alkalinuria","சிறுநீர்க் காரம்.
"
"197","aloes","கற்றாழைச்சாறு.
"
"198","alopecia","தலை வழுக்கையாதல்.
"
"199","allantois","சூழ்பை பறவை, ஊர்வன, பாலூட்டி போன்ற முதுகெலும்பு கொண்ட வற்றில் மூச்சுக்காக உள்ள பகுதி.
"
"200","alleles, allelomorphs","இணை மாற்றுகள் இரண்டிற்கு மேற்பட்ட மரபணுக்கள் ஒன்றுக்கொன்று மாற்றாக அமைதல்.
"
"201","allergy","ஒவ்வாமை. (உடலுக்குள் நுழையும் தேவையற்ற தூசுகளை நீக்குவதற்காக ஏற்படும் பாதுகாப்பு ஏற்பாடாக உடல் செய்யும் காப்பு தான் ஒவ்வாமை.)
"
"202","allobar","ஓரிமங்களின் கலவை. செயற்கைத் தனிமம் எடு
"
"203","alloy","உலோகக்கலவை. ஓர் உலோகம் மற்றொரு உலோகத்துடன் கலப்பது உலோகக்கலவை எனப்படுகிறது. இன்வார், பித்தளை, வெண்கலம்.
"
"204","allograft","அயல் உறுப்பு ஒட்டுதல். ஒருவரின் உடல் உறுப்பை பாதிக்கப்பட்டவருக்குப் பொருத்துதல், இது நவீன மருத்துவ சிகிச்சை கலையாக வளர்கிறது.
"
"205","alligator","ணீறீறீவீரீணீtஷீக்ஷீ னீவீssவீஜீஜீவீமீஸீsவீs - முதலை
"
"206","allortopes","அயல் வேற்று உருக்கள். கெட்டியான பொருட்களின் வேறுபட்ட இயல்பு வடிவங்கள. எடு
"
"207","allotropy","வேறு மூல உருவநிலை. ஒரே வேதி மூலத்தின் வெவ்வேறு அமைப்பு.
"
"208","allotype","வறு வகை. பால் தன்மையில் வேறு துணை பால்வகை.
"
"209","alpha","ஆல்பா. கிரேக்க மொழியின் முதலெழுத்து.
"
"210","algebra","அல்ஜிப்ரா கணக்கு முறை. எண்களில்லாமல் குறியீடுகள் (ஜ், ஹ், க்ஷ்) மூலம் தீர்வுக்காணும் அராபிக் கணக்கு முறை.
"
"211","alpha decay","கதிரியக்கச் சிதைவு.
"
"212","alpha particle","ஆல்பா துகள். தனிமங் களிலிருந்து வெளிப்படும் கதிரியக்க உமிகள். இது நேர் மின்னோட்டம் கொண்டது.
"
"213","alpha rays","ஆல்பா கதிர்கள். இது விரைவு கொண்டது.
"
"214","alpine vegetation","ஆல்ப்ஸ் மலைப்பகுதி தாவரங்களின் தொகுதி.
"
"215","alternating current","கிசி மாறுதிசை மின்னோட்டம்.
"
"216","alternation medicines","மாற்று மருத்துவம்.
"
"217","alterne","மாறு தொகுதி. மாறுபடுகின்ற தாவரத்தொகுதிகள்.
"
"218","altimeter","அல்டி மீட்டர் கடல் மட்டத்திற்கு மேலேயுள்ள உயரத்தை அளக்கப்பயன்படும் மானி.
"
"219","altitude","குத்து உயர ஆழம்.
"
"220","altruism","உயிர்நலம். விலங்கின் நடத்தை.
"
"221","alum","ஆலம். படிகாரம். எடு
"
"222","alumina","அலுமினா கிலி2ளி3 அலுமினியம் ஆக்ஸைடு. வெள்ளை நிறம். உலைகளில் பயன்படுவது.
"
"223","aluminium","அலுமினியம், எடை குறைந்த பாக்சைட் தாதுவிலிருந்து மின்னாற்பகுப்பு செய்து பெறப்படுகிறது. அலுமினியத்தைத் தகடாக, கம்பியாக ஆக்க முடியுமென்பது சிறப்பாகும்.
"
"224","aluminium bronze","அலுமினிய வெண்கலம். உலோகக் கலவை. செம்பு, அலுமினியம் சேர்ந்தது. இரும்பு, மாங்கனீஸ், நிக்கல், துத்தநாகம் ஆகியவையும் கலந்திருக்கும் (அலுமினிய வெண்கலம் கொண்டு நாணயங்கள், சிலை மற்றும் சமையல் பொருட்கள் செய்யப்படுகின்றன.)
"
"225","aluminium paint","அலுமினிய வண்ணக் குழைவு. அலுமினிய நிறமியை இந்த குழைவில் கலக்கப்படுகிறது.
"
"226","aluminium paste","அலுமினியப்பசை
"
"227","aluminium soap","அலுமினிய சவர்க்காரம்.
"
"228","alveolus","சிற்றறை பற்குழிகளிலும் நுரையீரல்களிலும் உள்ள சிற்றறைகள்.
"
"229","alzheimer’s disease","அல்சீமர் நோய். மூளையிலுள்ள ஞாபகப்பகுதியில் ஏற்படும் குறை நோய்.
"
"230","amalgam","இரசக்கலவை, பாதரசம் உலோகங்களோடு சேரும் கலவை. இது வெள்ளி நைட்ரேட் கரைசலில் விடும்போது ஒவ்வொரு திசையிலும் மரக்கிளைகள் போன்ற பல கிளைகள் விட்டுக் கொண்டே பரவும். இது ‘பாதரசமரம்’ என்றழைக்கப்படுகிறது.
"
"231","amatoxins","நச்சுபூஞ்சை
"
"232","amber","ஆம்பர். மரப்பிசின். கடினமாகிவிட்ட இப்பிசின் வைரம் போன்று கண்ணைக் கவரக்கூடியதாகும். முத்து மாலைகளுடன் மாலை செய்து அணிகலனாகப் பயன் படுத்தப்படுகிறது.
"
"233","ambulance","முதலுதவி வாகனம்.
"
"234","amelia","மாற்றுத்திறனாளர்.
"
"235","amenorrhoea","பெண்களிடையே மாதமொருத் தடவை ஏற்படும் மாதவிலக்கு. குறிப்பிட்ட வயதில் நிற்றல்.
"
"236","amensalism","வலிமை, எளியதை அடக்கும் பாகுபாடு. இது விலங்குகளில் காணப்படுவது.
"
"237","ament","மன வளர்ச்சி பெறாதவர்.
"
"238","amentia","சரியான நிலையில் மனம் நிலைக்காமை.
"
"239","amentum","கதிர்க்கொத்து.
"
"240","amino acids","அமினோகாடிகள். கார்பாக்சிலிக் அமிலத் தினின்று கிடைக்கும் பொருள்.
"
"241","amino aciduria","அமினோ குறை நீரழிவு.
"
"242","amino plex","நரம்பு வழி மருந்து.
"
"243","amitosis","நேர்நிலைப் பிரிதல் செல் பிரிதல், உட்கருவானது நேரடியாக பிளவுறுதல்.
"
"244","ammeter","மின்னோட்டமானி. மின்னோட்டத்தை அளக்கும் மானி.
"
"245","ammonal","அம்மோனல். அம்மோனியம் நைட்ரேட். தூள் அலுமினியம். மூன்று நைட் ரோடுலின் (ஜிழிஜி) ஆகிய மூன்றும் சேர்ந்த கலவை. இது வெடி மருந்தாகும்.
"
"246","ammonia","அமோனியா ழிபி3 விஷமற்ற வாயு. நம் உடலிலுள்ள வளியை வெளியேற்றக் கூடியது. அமோனியா நீரில் கரையும் அமோனியம் ஹைட்ராக்ஸைடு உரமாகவு-ம், வெடி மருந்துகளிலும் இது பெரும்பங்கு வகிக்கிறது.
"
"247","ammonification","அமோனியா உண்டாக்கல். பேசிலஸ் மைக்காய்டிஸ் போன்ற பாக்டீரியாவால் சிதைந்த கரிமப் பொருட்கள் மூலம் அமோனியா உருவாக்கப்படுகிறது.
"
"248","ammonium bi carbonate","அமோனியா பை கார்பனேட், இது சமையலுக்குப் பயன்படுத்தப்படுகிறது. ழிபி4 பிசிளி3.
"
"249","ammonium carbonate","(ழிபி4)2 சிளி3 நெடி கொண்டது. நீரில் கரையக் கூடியது. ரொட்டி தயாரிப்பிலும் துணிச் சாயங்களிலும் பயன்படுகிறது.
"
"250","ammonium nitrate","ழிபி4 ழிளி3 நிறமற்ற நீரை ஈர்க்கும் உப்பு. வெடிமருந்து மற்றும் உரம் தயாரிக்கப் பயன்படுகிறது.
"
